[GIN] 2019/07/27 - 18:13:42 | 200 |    1.856114ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:13:42 | 200 |    2.222929ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:13:43 | 302 |      39.101µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:13:43 | 302 |     770.681µs |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:13:43 | 200 |    4.084078ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:13:44 | 200 |    2.816957ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:13:45 | 200 |    2.869101ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:13:45 | 304 |     137.438µs |       127.0.0.1 | GET      /static/css/style.css
[GIN] 2019/07/27 - 18:13:45 | 200 |    2.785441ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:13:45 | 200 |    1.880909ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:13:46 | 200 |    4.532985ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:13:46 | 200 |    1.359978ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:13:46 | 200 |    3.164947ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:13:46 | 200 |    2.444673ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:13:46 | 200 |     953.427µs |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:13:47 | 200 |    2.172761ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:13:48 | 302 |      41.217µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:13:48 | 302 |     476.269µs |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:13:48 | 200 |    2.818942ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:13:49 | 200 |    3.820069ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:13:50 | 200 |    1.689712ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:13:50 | 200 |    1.166498ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:13:50 | 200 |     3.95618ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:13:52 | 302 |      45.908µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:13:52 | 302 |     511.522µs |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:13:52 | 200 |    2.783794ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:13:53 | 200 |     2.23402ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:13:55 | 200 |    3.774232ms |       127.0.0.1 | POST     /post/setting/checkSetting
[GIN] 2019/07/27 - 18:13:55 | 302 |     517.896µs |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:13:55 | 200 |    1.965484ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:13:57 | 200 |     569.961µs |       127.0.0.1 | POST     /login
[GIN] 2019/07/27 - 18:13:57 | 200 |    4.909634ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:13:59 | 302 |      50.011µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:13:59 | 200 |    2.043325ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:14:00 | 200 |      511.57µs |       127.0.0.1 | POST     /login
[GIN] 2019/07/27 - 18:14:00 | 200 |    4.770606ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:01 | 200 |    2.413506ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:14:01 | 200 |     1.29825ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:14:02 | 200 |    2.810557ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:14:02 | 200 |     2.42849ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:14:05 | 302 |      58.402µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:14:05 | 200 |    1.679089ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:14:06 | 200 |     514.927µs |       127.0.0.1 | POST     /login
[GIN] 2019/07/27 - 18:14:06 | 200 |    3.520817ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:07 | 200 |    2.845529ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:14:09 | 200 |     915.841µs |       127.0.0.1 | GET      /get/setting/info?id=2
[GIN] 2019/07/27 - 18:14:12 | 200 |    3.842602ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:13 | 200 |    2.654791ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:14:13 | 200 |     835.037µs |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:14:13 | 200 |    3.463388ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:14:14 | 200 |    2.569308ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:14:15 | 200 |     924.519µs |       127.0.0.1 | GET      /get/setting/info?id=2
[GIN] 2019/07/27 - 18:14:19 | 200 |    3.425391ms |       127.0.0.1 | POST     /post/setting/login
[GIN] 2019/07/27 - 18:14:21 | 200 |    2.439196ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:14:21 | 304 |     144.754µs |       127.0.0.1 | GET      /static/images/avatar.jpg
[GIN] 2019/07/27 - 18:14:21 | 200 |     209.863µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/07/27 - 18:14:21 | 200 |    4.067479ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:23 | 302 |      48.224µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:14:23 | 302 |     432.997µs |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:14:23 | 200 |    3.089267ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:26 | 302 |      41.192µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:14:26 | 302 |     527.542µs |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:14:26 | 200 |     2.90126ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:26 | 200 |    2.425899ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:14:27 | 200 |    3.599423ms |       127.0.0.1 | POST     /post/setting/checkSetting
[GIN] 2019/07/27 - 18:14:29 | 302 |      38.852µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:14:29 | 200 |    2.400416ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:14:30 | 200 |    1.764747ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:14:30 | 200 |      174.93µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/07/27 - 18:14:31 | 200 |     530.507µs |       127.0.0.1 | POST     /login
[GIN] 2019/07/27 - 18:14:34 | 200 |     513.363µs |       127.0.0.1 | POST     /login
[GIN] 2019/07/27 - 18:14:34 | 200 |    2.727341ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:37 | 200 |    1.837006ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:14:37 | 200 |     959.502µs |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:14:37 | 200 |    1.886669ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:14:38 | 200 |    2.996147ms |       127.0.0.1 | GET      /setting
